timestamp,value
1565051700000,735.96
1565052000000,817.56
1565052300000,766.64
1565052600000,732.16
1565052900000,815.0
1565053200000,964.84
1565053500000,975.48
1565053800000,973.6
1565054100000,986.16
1565054400000,1028.44
1565054700000,1015.08
1565055000000,1050.16
1565055300000,1026.48
1565055600000,982.84
1565055900000,1071.76
1565056200000,1053.4
1565056500000,1033.12
1565056800000,1161.96
1565057100000,1066.4
1565057400000,1079.76
1565057700000,1122.52
1565058000000,1128.32
1565058300000,1064.16
1565058600000,1145.24
1565058900000,1109.76
1565059200000,1048.96
1565059500000,1105.6
1565059800000,1057.72
1565060100000,1056.2
1565060400000,1158.44
1565060700000,1094.84
1565061000000,1072.24
1565061300000,1078.04
1565061600000,1026.96
1565061900000,952.8
1565062200000,984.36
1565062500000,1026.88
1565062800000,1041.4
1565063100000,1036.56
1565063400000,997.24
1565063700000,1026.88
1565064000000,1158.12
1565064300000,1129.48
1565064600000,1035.32
1565064900000,1020.4
1565065200000,977.08
1565065500000,966.6
1565065800000,974.88
1565066100000,953.92
1565066400000,1032.52
1565066700000,922.96
1565067000000,915.04
1565067300000,864.36
1565067600000,985.08
1565067900000,932.04
1565068200000,931.36
1565068500000,918.92
1565068800000,911.64
1565069100000,920.4
1565069400000,952.2
1565069700000,928.04
1565070000000,875.6
1565070300000,964.2
1565070600000,842.88
1565070900000,898.64
1565071200000,1082.92
1565071500000,988.6
1565071800000,988.44
1565072100000,1016.68
1565072400000,1028.88
1565072700000,1003.64
1565073000000,1011.32
1565073300000,1005.16
1565073600000,1012.0
1565073900000,1006.52
1565074200000,998.8
1565074500000,937.44
1565074800000,1096.68
1565075100000,1066.04
1565075400000,1083.96
1565075700000,1034.0
1565076000000,1002.96
1565076300000,1010.6
1565076600000,1000.68
1565076900000,964.0
1565077200000,965.76
1565077500000,976.8
1565077800000,948.96
1565078100000,955.32
1565078400000,1020.76
1565078700000,1051.36
1565079000000,1021.8
1565079300000,1062.84
1565079600000,1002.76
1565079900000,1042.2
1565080200000,1036.44
1565080500000,1043.24
1565080800000,1011.6
1565081100000,965.0
1565081400000,938.4
1565081700000,937.76
1565082000000,998.08
1565082300000,1041.56
1565082600000,1001.4
1565082900000,957.72
1565083200000,947.0
1565083500000,947.72
1565083800000,903.96
1565084100000,913.44
1565084400000,875.68
1565084700000,856.96
1565085000000,786.52
1565085300000,844.8
1565085600000,960.56
1565085900000,914.84
1565086200000,927.16
1565086500000,844.76
1565086800000,795.84
1565087100000,792.24
1565087400000,849.08
1565087700000,791.76
1565088000000,755.88
1565088300000,770.0
1565088600000,710.68
1565088900000,742.32
1565089200000,787.44
1565089500000,752.04
1565089800000,766.84
1565090100000,730.72
1565090400000,762.2
1565090700000,688.88
1565091000000,739.84
1565091300000,716.2
1565091600000,671.4
1565091900000,746.24
1565092200000,667.76
1565092500000,670.48
